<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.28	20:00:00	144.956	145.126	144.700	144.912	9712	0	80
2010.01.29	00:00:00	144.915	145.332	144.419	145.118	13164	0	80
2010.01.29	04:00:00	145.119	145.429	144.716	145.259	10824	0	50
2010.01.29	08:00:00	145.264	145.986	145.073	145.755	16567	0	50
2010.01.29	12:00:00	145.757	146.220	145.251	145.715	17486	0	50
2010.01.29	16:00:00	145.711	145.812	144.423	144.684	17073	0	56
2010.01.29	20:00:00	144.685	144.786	144.169	144.229	7156	0	80
2010.02.01	00:00:00	143.832	144.322	143.529	143.635	11072	0	80
2010.02.01	04:00:00	143.633	144.031	143.429	143.877	10635	0	54
2010.02.01	08:00:00	143.878	144.369	143.044	143.128	17367	0	57
2010.02.01	12:00:00	143.124	144.154	143.073	144.153	15952	0	57
2010.02.01	16:00:00	144.163	144.846	144.021	144.598	15465	0	57
2010.02.01	20:00:00	144.589	144.798	144.449	144.769	7945	0	80
2010.02.02	00:00:00	144.771	145.072	144.632	144.924	8706	0	80
2010.02.02	04:00:00	144.923	145.159	144.203	144.763	11119	0	55
2010.02.02	08:00:00	144.758	144.770	143.895	144.569	16735	0	57
2010.02.02	12:00:00	144.574	144.657	143.944	144.169	15229	0	57
2010.02.02	16:00:00	144.021	144.520	143.837	144.358	12811	0	57
2010.02.02	20:00:00	144.362	144.477	144.248	144.365	7403	0	80
2010.02.03	00:00:00	144.371	144.862	144.183	144.370	9116	0	80
2010.02.03	04:00:00	144.368	145.088	144.367	144.912	7625	0	50
2010.02.03	08:00:00	144.914	145.081	144.536	144.677	14694	0	50
2010.02.03	12:00:00	144.678	145.202	144.526	145.059	15513	0	50
2010.02.03	16:00:00	145.062	145.265	144.783	144.976	13690	0	50
2010.02.03	20:00:00	144.974	144.996	144.448	144.616	7087	0	80
2010.02.04	00:00:00	144.620	144.750	144.297	144.522	8263	0	80
2010.02.04	04:00:00	144.521	144.648	144.393	144.484	6811	0	50
2010.02.04	08:00:00	144.483	144.709	143.521	143.634	14537	0	50
2010.02.04	12:00:00	143.632	144.208	142.862	142.914	16077	0	50
2010.02.04	16:00:00	142.926	143.066	139.364	140.382	16578	0	50
2010.02.04	20:00:00	140.383	140.710	139.923	140.489	9966	0	80
2010.02.05	00:00:00	140.492	141.343	140.492	141.175	11886	0	80
2010.02.05	04:00:00	141.176	141.397	140.712	140.929	9884	0	51
2010.02.05	08:00:00	140.929	141.251	139.888	140.396	18099	0	50
2010.02.05	12:00:00	140.393	141.164	139.597	139.797	18154	0	50
2010.02.05	16:00:00	139.794	139.980	138.233	138.506	18166	0	52
2010.02.05	20:00:00	138.500	139.780	138.495	139.553	9397	0	80
2010.02.08	00:00:00	139.041	139.681	139.019	139.304	10527	0	80
2010.02.08	04:00:00	139.306	139.425	138.617	138.722	10094	0	51
2010.02.08	08:00:00	138.721	139.901	138.706	139.325	15745	0	50
2010.02.08	12:00:00	139.324	139.554	138.661	139.236	15806	0	50
2010.02.08	16:00:00	139.239	139.909	139.084	139.454	14155	0	50
2010.02.08	20:00:00	139.461	139.562	138.764	139.145	8015	0	80
2010.02.09	00:00:00	139.139	139.596	138.894	139.381	9246	0	80
2010.02.09	04:00:00	139.383	140.083	139.268	140.031	9884	0	51
2010.02.09	08:00:00	140.030	140.194	139.525	139.556	14723	0	50
2010.02.09	12:00:00	139.557	140.406	139.331	139.742	16088	0	50
2010.02.09	16:00:00	139.741	141.175	139.260	140.767	19391	0	56
2010.02.09	20:00:00	140.766	141.341	140.502	141.063	9618	0	80
2010.02.10	00:00:00	141.006	141.391	140.604	140.743	10357	0	80
2010.02.10	04:00:00	140.742	140.826	140.207	140.729	10350	0	50
2010.02.10	08:00:00	140.727	141.390	140.286	140.554	16090	0	50
2010.02.10	12:00:00	140.553	140.600	139.441	139.756	16657	0	50
2010.02.10	16:00:00	139.758	140.634	139.656	140.232	16175	0	50
2010.02.10	20:00:00	140.229	140.399	140.054	140.292	7034	0	80
2010.02.11	00:00:00	140.288	140.907	140.218	140.601	8318	0	80
2010.02.11	04:00:00	140.602	140.735	140.432	140.560	7706	0	50
2010.02.11	08:00:00	140.561	140.738	139.933	140.082	13518	0	50
2010.02.11	12:00:00	140.083	140.437	139.606	139.938	17079	0	50
2010.02.11	16:00:00	139.933	140.902	139.805	140.637	15712	0	50
2010.02.11	20:00:00	140.625	140.977	140.597	140.784	7545	0	80
2010.02.12	00:00:00	140.788	141.030	140.432	140.658	9085	0	80
2010.02.12	04:00:00	140.655	140.983	140.395	140.897	7221	0	51
2010.02.12	08:00:00	140.903	141.869	139.773	140.386	18057	0	50
2010.02.12	12:00:00	140.385	141.245	140.081	140.737	17362	0	50
2010.02.12	16:00:00	140.730	141.305	140.347	140.997	15169	0	50
2010.02.12	20:00:00	140.999	141.412	140.829	141.196	5896	0	80
2010.02.15	00:00:00	140.992	141.324	140.782	141.165	6960	0	80
2010.02.15	04:00:00	141.167	141.322	140.910	140.969	6417	0	52
2010.02.15	08:00:00	140.970	141.361	140.688	141.116	11335	0	50
2010.02.15	12:00:00	141.115	141.364	140.843	140.975	9358	0	50
2010.02.15	16:00:00	140.976	141.042	140.796	140.910	7447	0	50
2010.02.15	20:00:00	140.909	141.092	140.820	141.025	5029	0	80
2010.02.16	00:00:00	141.028	141.194	140.859	141.024	7789	0	80
2010.02.16	04:00:00	141.027	141.263	140.850	141.086	8541	0	55
2010.02.16	08:00:00	141.083	141.325	140.928	141.121	14607	0	50
2010.02.16	12:00:00	141.122	141.226	140.711	140.888	15606	0	56
2010.02.16	16:00:00	140.882	142.561	140.843	142.286	16146	0	56
2010.02.16	20:00:00	142.288	142.450	142.100	142.329	8053	0	80
2010.02.17	00:00:00	142.328	142.575	142.235	142.367	8696	0	80
2010.02.17	04:00:00	142.368	142.569	142.308	142.424	7428	0	51
2010.02.17	08:00:00	142.423	142.965	142.079	142.703	16587	0	50
2010.02.17	12:00:00	142.701	143.596	142.563	143.482	17108	0	50
2010.02.17	16:00:00	143.480	143.501	142.243	142.620	16126	0	50
2010.02.17	20:00:00	142.612	143.188	142.612	142.940	10505	0	80
2010.02.18	00:00:00	142.947	143.045	142.252	142.327	10519	0	80
2010.02.18	04:00:00	142.328	142.579	142.238	142.522	8939	0	50
2010.02.18	08:00:00	142.521	142.523	141.398	141.776	16485	0	50
2010.02.18	12:00:00	141.777	142.200	140.966	141.969	14264	0	50
2010.02.18	16:00:00	141.977	142.783	141.952	142.466	16730	0	50
2010.02.18	20:00:00	142.440	142.852	142.218	142.417	13370	0	80
2010.02.19	00:00:00	142.417	142.459	141.518	141.653	14627	0	80
2010.02.19	04:00:00	141.658	141.713	141.309	141.519	10112	0	55
2010.02.19	08:00:00	141.521	141.798	140.881	141.249	16005	0	50
2010.02.19	12:00:00	141.252	141.569	141.073	141.396	15041	0	50
2010.02.19	16:00:00	141.398	142.181	141.231	141.804	14947	0	50
2010.02.19	20:00:00	141.801	141.917	141.509	141.549	6627	0	80
2010.02.22	00:00:00	141.605	142.153	141.400	141.890	8724	0	80
2010.02.22	04:00:00	141.892	141.980	141.516	141.568	6413	0	50
2010.02.22	08:00:00	141.570	142.002	141.030	141.065	13687	0	50
2010.02.22	12:00:00	141.069	141.722	141.062	141.409	14008	0	50
2010.02.22	16:00:00	141.410	141.462	140.782	141.059	13303	0	50
2010.02.22	20:00:00	141.060	141.242	140.954	141.185	5869	0	80
2010.02.23	00:00:00	141.175	141.627	141.003	141.200	7981	0	80
2010.02.23	04:00:00	141.199	141.521	140.940	141.204	7900	0	51
2010.02.23	08:00:00	141.212	141.652	139.969	140.190	16594	0	50
2010.02.23	12:00:00	140.193	140.512	139.688	140.142	16879	0	50
2010.02.23	16:00:00	140.136	140.136	138.723	138.918	17211	0	50
2010.02.23	20:00:00	138.903	139.326	138.843	139.205	8131	0	80
2010.02.24	00:00:00	139.207	139.477	139.017	139.351	8055	0	80
2010.02.24	04:00:00	139.357	139.542	139.237	139.415	6822	0	50
2010.02.24	08:00:00	139.414	139.579	138.666	139.271	14831	0	50
2010.02.24	12:00:00	139.273	139.311	138.809	139.201	15023	0	50
2010.02.24	16:00:00	139.206	139.246	138.341	138.981	16687	0	50
2010.02.24	20:00:00	138.984	138.989	138.719	138.933	6940	0	80
2010.02.25	00:00:00	138.933	139.196	137.338	137.488	10425	0	80
2010.02.25	04:00:00	137.487	137.759	136.833	137.045	11489	0	50
2010.02.25	08:00:00	137.050	137.353	136.269	136.626	15932	0	50
2010.02.25	12:00:00	136.628	136.995	135.673	136.118	15254	0	50
2010.02.25	16:00:00	136.121	136.290	134.949	135.836	16025	0	50
2010.02.25	20:00:00	135.846	136.090	135.689	135.996	8860	0	80
2010.02.26	00:00:00	135.998	136.534	135.914	136.223	11018	0	80
2010.02.26	04:00:00	136.224	136.641	136.205	136.327	9900	0	50
2010.02.26	08:00:00	136.326	136.679	135.956	136.163	15918	0	50
2010.02.26	12:00:00	136.162	136.172	135.025	135.025	16067	0	50
2010.02.26	16:00:00	135.013	135.708	134.640	135.630	16172	0	50
2010.02.26	20:00:00	135.627	135.664	135.317	135.508	5830	0	80
2010.03.01	00:00:00	134.752	135.391	134.509	135.151	11202	0	80
2010.03.01	04:00:00	135.153	135.265	134.677	134.850	7838	0	50
2010.03.01	08:00:00	134.846	135.487	133.538	133.624	15888	0	50
2010.03.01	12:00:00	133.620	133.874	132.130	132.842	17712	0	50
