<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.08	04:00:00	1123.05	1125.90	1119.90	1123.65	2330	0	0
2010.01.08	08:00:00	1123.70	1126.20	1121.10	1123.10	2896	0	0
2010.01.08	12:00:00	1122.95	1139.70	1119.80	1132.25	5066	0	0
2010.01.08	16:00:00	1132.35	1138.75	1125.70	1136.00	5754	0	0
2010.01.08	20:00:00	1135.90	1138.25	1134.00	1138.25	1535	0	0
2010.01.11	00:00:00	1153.60	1157.93	1152.25	1155.37	5102	0	0
2010.01.11	04:00:00	1155.39	1155.93	1151.45	1152.43	5604	0	0
2010.01.11	08:00:00	1152.45	1159.07	1152.14	1157.76	9896	0	0
2010.01.11	12:00:00	1157.79	1161.63	1153.58	1153.70	15984	0	0
2010.01.11	16:00:00	1153.70	1158.60	1148.76	1153.89	17157	0	0
2010.01.11	20:00:00	1153.85	1154.58	1149.55	1149.55	7486	0	0
2010.01.12	00:00:00	1148.48	1153.85	1148.18	1150.88	9033	0	0
2010.01.12	04:00:00	1150.89	1157.45	1150.12	1156.00	9852	0	0
2010.01.12	08:00:00	1156.03	1158.03	1151.90	1152.23	13718	0	0
2010.01.12	12:00:00	1152.22	1152.25	1144.23	1149.96	17029	0	0
2010.01.12	16:00:00	1149.98	1153.54	1125.43	1128.82	18051	0	0
2010.01.12	20:00:00	1128.80	1129.34	1125.71	1128.65	8089	0	0
2010.01.13	00:00:00	1130.10	1132.32	1125.06	1128.81	9623	0	0
2010.01.13	04:00:00	1128.80	1131.77	1127.86	1131.54	11155	0	0
2010.01.13	08:00:00	1131.52	1134.55	1126.34	1131.59	12783	0	0
2010.01.13	12:00:00	1131.60	1137.03	1130.41	1131.28	16441	0	0
2010.01.13	16:00:00	1131.25	1138.19	1118.82	1135.50	20210	0	0
2010.01.13	20:00:00	1135.55	1138.65	1134.97	1137.73	8341	0	0
2010.01.14	00:00:00	1138.53	1145.33	1137.94	1142.58	8248	0	0
2010.01.14	04:00:00	1142.59	1144.17	1139.98	1141.13	11101	0	0
2010.01.14	08:00:00	1141.17	1143.62	1135.25	1137.80	13924	0	0
2010.01.14	12:00:00	1137.81	1142.50	1132.95	1137.53	17898	0	0
2010.01.14	16:00:00	1137.54	1145.99	1130.94	1144.53	19065	0	0
2010.01.14	20:00:00	1144.53	1145.83	1140.56	1141.69	9088	0	0
2010.01.15	00:00:00	1143.98	1145.63	1138.95	1140.49	7741	0	0
2010.01.15	04:00:00	1140.51	1140.67	1136.59	1139.23	10873	0	0
2010.01.15	08:00:00	1139.22	1139.41	1131.76	1132.61	14828	0	0
2010.01.15	12:00:00	1132.60	1137.06	1128.84	1129.64	17603	0	0
2010.01.15	16:00:00	1129.66	1133.44	1126.71	1130.52	13025	0	0
2010.01.15	20:00:00	1130.57	1132.04	1127.94	1130.90	4974	0	0
2010.01.18	00:00:00	1132.54	1133.01	1129.21	1131.28	7422	0	0
2010.01.18	04:00:00	1131.26	1136.10	1131.20	1135.58	8746	0	0
2010.01.18	08:00:00	1135.56	1137.13	1133.55	1134.64	11003	0	0
2010.01.18	12:00:00	1134.61	1136.86	1132.32	1135.84	11450	0	0
2010.01.18	16:00:00	1135.82	1135.82	1132.96	1133.83	7865	0	0
2010.01.18	20:00:00	1133.84	1134.05	1133.06	1133.20	23	0	0
2010.01.19	00:00:00	1135.52	1139.19	1135.43	1137.46	7497	0	0
2010.01.19	04:00:00	1137.39	1138.54	1135.65	1136.54	9159	0	0
2010.01.19	08:00:00	1136.53	1140.57	1131.55	1132.31	14424	0	0
2010.01.19	12:00:00	1132.30	1136.45	1128.65	1133.18	17602	0	0
2010.01.19	16:00:00	1133.17	1139.91	1131.11	1138.91	17074	0	0
2010.01.19	20:00:00	1138.92	1139.29	1133.08	1133.08	7711	0	0
2010.01.20	00:00:00	1138.59	1141.30	1132.81	1134.85	10467	0	0
2010.01.20	04:00:00	1134.87	1135.63	1130.79	1132.72	12620	0	0
2010.01.20	08:00:00	1132.85	1132.86	1127.49	1128.65	14732	0	0
2010.01.20	12:00:00	1128.64	1130.95	1119.00	1121.62	17478	0	0
2010.01.20	16:00:00	1121.61	1121.61	1107.03	1112.49	18425	0	0
2010.01.20	20:00:00	1112.52	1113.88	1110.53	1111.75	7981	0	0
2010.01.21	00:00:00	1115.33	1115.40	1110.76	1111.51	10039	0	0
2010.01.21	04:00:00	1111.51	1117.04	1111.28	1116.58	10918	0	0
2010.01.21	08:00:00	1116.48	1117.43	1100.71	1100.99	15243	0	0
2010.01.21	12:00:00	1100.91	1109.99	1100.85	1105.92	16769	0	0
2010.01.21	16:00:00	1105.77	1109.55	1088.45	1102.14	20374	0	0
2010.01.21	20:00:00	1102.13	1102.13	1092.85	1092.90	11289	0	0
2010.01.22	00:00:00	1094.55	1096.75	1090.72	1095.99	11137	0	0
2010.01.22	04:00:00	1096.01	1096.62	1089.68	1094.63	12780	0	0
2010.01.22	08:00:00	1094.67	1098.46	1094.19	1094.55	14258	0	0
2010.01.22	12:00:00	1094.57	1095.73	1085.14	1086.73	18494	0	0
2010.01.22	16:00:00	1086.76	1098.32	1082.15	1090.27	20234	0	0
2010.01.22	20:00:00	1090.23	1094.53	1088.23	1092.76	9268	0	0
2010.01.25	00:00:00	1094.72	1099.30	1092.73	1098.93	9966	0	0
2010.01.25	04:00:00	1098.93	1103.19	1097.75	1101.90	10875	0	0
2010.01.25	08:00:00	1101.88	1103.89	1098.20	1103.46	13823	0	0
2010.01.25	12:00:00	1103.44	1103.71	1094.53	1096.51	15739	0	0
2010.01.25	16:00:00	1096.50	1099.20	1092.87	1096.69	19343	0	0
2010.01.25	20:00:00	1096.68	1099.60	1095.55	1099.55	8011	0	0
2010.01.26	00:00:00	1100.73	1103.29	1099.86	1099.86	7509	0	0
2010.01.26	04:00:00	1099.84	1100.15	1092.43	1095.16	12462	0	0
2010.01.26	08:00:00	1095.19	1095.82	1090.20	1090.97	14658	0	0
2010.01.26	12:00:00	1090.96	1096.64	1085.52	1092.74	16466	0	0
2010.01.26	16:00:00	1092.76	1101.91	1092.76	1100.22	18291	0	0
2010.01.26	20:00:00	1100.26	1100.49	1096.53	1097.90	8767	0	0
2010.01.27	00:00:00	1098.76	1102.24	1096.66	1100.08	9652	0	0
2010.01.27	04:00:00	1100.09	1101.41	1096.11	1096.45	11054	0	0
2010.01.27	08:00:00	1096.44	1097.14	1091.53	1093.83	14577	0	0
2010.01.27	12:00:00	1093.87	1099.84	1091.02	1096.14	15731	0	0
2010.01.27	16:00:00	1096.19	1096.62	1084.62	1086.68	17698	0	0
2010.01.27	20:00:00	1086.67	1092.47	1083.39	1087.83	10971	0	0
2010.01.28	00:00:00	1088.62	1090.64	1080.86	1088.57	10779	0	0
2010.01.28	04:00:00	1088.59	1091.15	1087.38	1088.57	11484	0	0
2010.01.28	08:00:00	1088.58	1093.12	1087.03	1087.40	14627	0	0
2010.01.28	12:00:00	1087.39	1095.96	1086.05	1089.07	17251	0	0
2010.01.28	16:00:00	1089.10	1089.90	1074.01	1085.99	19766	0	0
2010.01.28	20:00:00	1086.02	1088.69	1084.61	1086.35	10069	0	0
2010.01.29	00:00:00	1085.48	1085.87	1081.21	1083.18	10175	0	0
2010.01.29	04:00:00	1083.16	1085.65	1080.35	1080.88	11807	0	0
2010.01.29	08:00:00	1080.89	1085.90	1079.42	1081.91	15211	0	0
2010.01.29	12:00:00	1081.91	1090.04	1077.03	1078.38	17563	0	0
2010.01.29	16:00:00	1078.40	1084.28	1074.63	1081.36	19980	0	0
2010.01.29	20:00:00	1081.38	1082.76	1077.31	1080.67	9227	0	0
2010.02.01	00:00:00	1082.66	1084.64	1077.70	1079.25	9470	0	0
2010.02.01	04:00:00	1079.24	1081.16	1076.52	1080.40	12325	0	0
2010.02.01	08:00:00	1080.42	1084.06	1079.78	1080.13	12820	0	0
2010.02.01	12:00:00	1080.12	1089.67	1079.77	1087.34	16865	0	0
2010.02.01	16:00:00	1087.30	1104.91	1085.60	1103.34	17899	0	0
2010.02.01	20:00:00	1103.40	1107.47	1102.15	1106.54	9453	0	0
2010.02.02	00:00:00	1103.43	1105.87	1101.76	1103.96	9160	0	0
2010.02.02	04:00:00	1103.97	1105.30	1098.85	1103.03	12775	0	0
2010.02.02	08:00:00	1103.03	1114.70	1101.78	1113.59	14972	0	0
2010.02.02	12:00:00	1113.58	1116.22	1109.35	1110.62	18105	0	0
2010.02.02	16:00:00	1110.57	1117.89	1108.55	1116.63	19001	0	0
2010.02.02	20:00:00	1116.63	1117.78	1113.76	1114.66	10164	0	0
2010.02.03	00:00:00	1115.52	1116.60	1110.96	1112.60	8938	0	0
2010.02.03	04:00:00	1112.59	1116.04	1111.25	1115.30	9253	0	0
2010.02.03	08:00:00	1115.29	1124.80	1114.75	1119.18	14912	0	0
2010.02.03	12:00:00	1119.19	1119.56	1111.28	1116.82	17561	0	0
2010.02.03	16:00:00	1116.82	1117.01	1107.09	1110.84	19706	0	0
2010.02.03	20:00:00	1110.85	1111.09	1107.75	1110.35	10326	0	0
2010.02.04	00:00:00	1106.31	1110.83	1105.86	1109.20	9220	0	0
2010.02.04	04:00:00	1109.21	1110.47	1104.72	1105.93	11412	0	0
2010.02.04	08:00:00	1105.95	1107.26	1101.45	1102.51	13917	0	0
2010.02.04	12:00:00	1102.52	1105.97	1080.42	1081.83	16721	0	0
2010.02.04	16:00:00	1081.82	1083.92	1059.98	1060.61	21171	0	0
2010.02.04	20:00:00	1060.62	1065.72	1059.58	1064.35	10767	0	0
2010.02.05	00:00:00	1064.50	1068.61	1060.85	1064.03	10692	0	0
2010.02.05	04:00:00	1064.00	1067.14	1063.36	1066.12	14528	0	0
2010.02.05	08:00:00	1066.19	1067.41	1049.26	1054.76	17559	0	0
2010.02.05	12:00:00	1054.70	1064.19	1052.77	1057.83	19434	0	0
2010.02.05	16:00:00	1057.84	1062.48	1044.46	1051.40	20799	0	0
2010.02.05	20:00:00	1051.37	1067.91	1051.30	1065.95	10805	0	0
2010.02.08	00:00:00	1065.28	1069.50	1064.77	1066.83	9891	0	0
2010.02.08	04:00:00	1066.90	1067.43	1065.08	1066.20	11317	0	0
2010.02.08	08:00:00	1066.21	1073.64	1065.87	1069.31	14165	0	0
2010.02.08	12:00:00	1069.31	1071.77	1061.65	1064.87	18283	0	0
2010.02.08	16:00:00	1064.92	1072.78	1062.89	1065.90	19575	0	0
2010.02.08	20:00:00	1065.92	1067.49	1062.24	1062.63	7666	0	0
2010.02.09	00:00:00	1063.29	1065.59	1062.90	1065.31	7987	0	0
2010.02.09	04:00:00	1065.31	1071.49	1064.53	1070.27	10284	0	0
2010.02.09	08:00:00	1070.33	1073.18	1066.96	1068.28	14252	0	0
2010.02.09	12:00:00	1068.28	1078.99	1066.22	1071.63	18048	0	0
