<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.12	08:00:00	133.684	133.692	132.745	132.923	13564	0	23
2010.01.12	12:00:00	132.920	132.977	132.070	132.285	16253	0	24
2010.01.12	16:00:00	132.286	132.450	131.622	131.811	12499	0	24
2010.01.12	20:00:00	131.812	132.065	131.706	132.065	6624	0	25
2010.01.13	00:00:00	132.060	132.240	131.508	131.772	10539	0	26
2010.01.13	04:00:00	131.773	132.217	131.676	132.205	8587	0	26
2010.01.13	08:00:00	132.206	132.704	131.897	132.602	13439	0	20
2010.01.13	12:00:00	132.599	133.201	132.571	133.014	13412	0	23
2010.01.13	16:00:00	133.012	133.014	132.238	132.491	13711	0	23
2010.01.13	20:00:00	132.509	132.774	132.431	132.531	5867	0	25
2010.01.14	00:00:00	132.699	133.337	132.550	133.325	8259	0	25
2010.01.14	04:00:00	133.327	133.597	133.146	133.215	8569	0	25
2010.01.14	08:00:00	133.216	133.624	133.130	133.386	11748	0	24
2010.01.14	12:00:00	133.388	133.447	132.042	132.162	14170	0	22
2010.01.14	16:00:00	132.171	132.361	131.711	131.915	13792	0	21
2010.01.14	20:00:00	131.919	132.342	131.814	132.282	6700	0	25
2010.01.15	00:00:00	132.276	132.388	131.100	131.383	11889	0	26
2010.01.15	04:00:00	131.384	131.667	131.136	131.337	9868	0	27
2010.01.15	08:00:00	131.336	131.344	130.467	130.499	13784	0	23
2010.01.15	12:00:00	130.406	131.235	130.296	130.704	13666	0	20
2010.01.15	16:00:00	130.703	130.722	130.408	130.596	12330	0	23
2010.01.15	20:00:00	130.593	130.743	130.385	130.568	6320	0	24
2010.01.18	00:00:00	130.446	130.724	130.078	130.307	10891	0	26
2010.01.18	04:00:00	130.306	130.932	130.292	130.783	10921	0	25
2010.01.18	08:00:00	130.787	130.931	130.557	130.574	12497	0	23
2010.01.18	12:00:00	130.575	130.640	130.219	130.585	11038	0	25
2010.01.18	16:00:00	130.588	130.710	130.495	130.575	7964	0	24
2010.01.18	20:00:00	130.574	130.600	130.373	130.445	5819	0	26
2010.01.19	00:00:00	130.444	130.700	130.324	130.346	11455	0	26
2010.01.19	04:00:00	130.351	130.369	129.978	130.258	11282	0	25
2010.01.19	08:00:00	130.257	130.555	129.889	130.003	16012	0	25
2010.01.19	12:00:00	130.006	130.284	129.638	130.196	16795	0	23
2010.01.19	16:00:00	130.198	130.389	129.960	130.127	12542	0	24
2010.01.19	20:00:00	130.126	130.357	130.122	130.195	8254	0	25
2010.01.20	00:00:00	130.194	130.310	129.434	129.744	14055	0	27
2010.01.20	04:00:00	129.746	129.866	129.254	129.457	12836	0	23
2010.01.20	08:00:00	129.454	129.454	128.732	128.815	16036	0	24
2010.01.20	12:00:00	128.812	129.202	128.397	129.045	16391	0	24
2010.01.20	16:00:00	129.043	129.084	128.477	128.683	12813	0	24
2010.01.20	20:00:00	128.684	128.794	128.612	128.728	7982	0	26
2010.01.21	00:00:00	128.728	129.128	128.551	128.734	12832	0	26
2010.01.21	04:00:00	128.733	129.181	128.709	129.107	11345	0	26
2010.01.21	08:00:00	129.106	129.291	128.702	128.770	15594	0	24
2010.01.21	12:00:00	128.771	129.474	128.771	129.283	15730	0	24
2010.01.21	16:00:00	129.284	129.459	127.187	127.439	18273	0	22
2010.01.21	20:00:00	127.436	127.517	127.033	127.332	11779	0	26
2010.01.22	00:00:00	127.335	127.568	126.538	127.163	16284	0	29
2010.01.22	04:00:00	127.161	127.724	126.829	127.349	12495	0	26
2010.01.22	08:00:00	127.350	128.190	127.290	127.693	15954	0	23
2010.01.22	12:00:00	127.694	127.758	126.976	127.437	16339	0	24
2010.01.22	16:00:00	127.440	127.814	126.890	127.254	16135	0	24
2010.01.22	20:00:00	127.258	127.313	126.940	126.971	8138	0	27
2010.01.25	00:00:00	127.277	127.879	127.070	127.788	12105	0	26
2010.01.25	04:00:00	127.789	127.866	127.472	127.831	9629	0	20
2010.01.25	08:00:00	127.830	128.044	127.201	128.044	14460	0	24
2010.01.25	12:00:00	128.045	128.117	127.485	127.485	13919	0	24
2010.01.25	16:00:00	127.488	127.793	127.193	127.687	14115	0	23
2010.01.25	20:00:00	127.689	127.802	127.602	127.669	7801	0	26
2010.01.26	00:00:00	127.669	128.352	127.496	127.511	11531	0	26
2010.01.26	04:00:00	127.514	127.587	126.118	126.847	16281	0	29
2010.01.26	08:00:00	126.845	127.293	125.931	126.209	17161	0	24
2010.01.26	12:00:00	126.210	126.476	125.873	126.026	15618	0	22
2010.01.26	16:00:00	126.036	126.425	125.665	126.391	14586	0	24
2010.01.26	20:00:00	126.392	126.427	126.063	126.173	9069	0	25
2010.01.27	00:00:00	126.174	126.352	125.725	125.852	13263	0	27
2010.01.27	04:00:00	125.853	126.015	125.288	125.479	12541	0	24
2010.01.27	08:00:00	125.475	126.160	125.228	125.814	16542	0	24
2010.01.27	12:00:00	125.813	126.204	125.397	125.492	15249	0	24
2010.01.27	16:00:00	125.487	125.697	125.268	125.671	14143	0	24
2010.01.27	20:00:00	125.670	126.376	125.450	126.288	12395	0	25
2010.01.28	00:00:00	126.286	126.479	125.898	126.439	13810	0	25
2010.01.28	04:00:00	126.438	126.711	126.242	126.485	11342	0	26
2010.01.28	08:00:00	126.483	127.069	126.297	126.356	15534	0	24
2010.01.28	12:00:00	126.354	126.636	125.804	126.001	15369	0	24
2010.01.28	16:00:00	126.002	126.008	125.101	125.610	15325	0	25
2010.01.28	20:00:00	125.609	125.806	125.431	125.496	10079	0	25
2010.01.29	00:00:00	125.504	125.553	124.806	125.393	14066	0	27
2010.01.29	04:00:00	125.394	125.639	125.099	125.508	11340	0	26
2010.01.29	08:00:00	125.511	126.243	125.481	126.041	15097	0	23
2010.01.29	12:00:00	126.040	126.674	125.864	126.374	16042	0	24
2010.01.29	16:00:00	126.375	126.430	125.172	125.452	16034	0	24
2010.01.29	20:00:00	125.454	125.499	125.087	125.112	6648	0	22
2010.02.01	00:00:00	125.059	125.412	124.783	124.896	11649	0	28
2010.02.01	04:00:00	124.894	125.355	124.734	125.214	10946	0	27
2010.02.01	08:00:00	125.215	125.791	125.178	125.432	14049	0	25
2010.02.01	12:00:00	125.431	125.962	125.294	125.962	13492	0	24
2010.02.01	16:00:00	126.050	126.505	125.865	126.268	14107	0	24
2010.02.01	20:00:00	126.269	126.414	126.094	126.370	9265	0	24
2010.02.02	00:00:00	126.367	126.611	126.249	126.367	9723	0	25
