<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.19	16:00:00	83.908	84.319	83.875	84.166	10615	0	30
2010.01.19	20:00:00	84.168	84.321	84.063	84.151	6143	0	50
2010.01.20	00:00:00	84.153	84.189	83.475	83.816	11967	0	50
2010.01.20	04:00:00	83.815	83.912	83.392	83.566	10737	0	33
2010.01.20	08:00:00	83.564	83.573	82.885	82.930	14386	0	32
2010.01.20	12:00:00	82.932	83.557	82.842	83.400	14059	0	30
2010.01.20	16:00:00	83.401	83.439	82.765	82.795	11484	0	30
2010.01.20	20:00:00	82.796	83.155	82.769	83.120	6449	0	50
2010.01.21	00:00:00	83.124	83.506	82.957	83.223	10987	0	50
2010.01.21	04:00:00	83.221	83.754	83.179	83.546	9224	0	34
2010.01.21	08:00:00	83.545	83.702	83.079	83.135	13196	0	31
2010.01.21	12:00:00	83.137	83.884	83.137	83.724	13473	0	30
2010.01.21	16:00:00	83.726	83.860	81.545	81.678	17290	0	30
2010.01.21	20:00:00	81.672	81.844	81.283	81.520	9989	0	50
2010.01.22	00:00:00	81.526	81.864	80.759	81.215	13884	0	50
2010.01.22	04:00:00	81.213	81.899	81.025	81.602	10469	0	30
2010.01.22	08:00:00	81.601	82.273	81.553	81.811	13599	0	30
2010.01.22	12:00:00	81.808	81.925	81.176	81.646	14545	0	30
2010.01.22	16:00:00	81.644	81.787	81.123	81.249	13943	0	30
2010.01.22	20:00:00	81.252	81.305	80.820	80.871	7224	0	50
2010.01.25	00:00:00	81.106	81.863	81.085	81.793	10402	0	50
2010.01.25	04:00:00	81.794	81.845	81.476	81.821	7427	0	33
2010.01.25	08:00:00	81.823	81.951	81.315	81.951	11494	0	30
2010.01.25	12:00:00	81.952	82.064	81.465	81.482	11270	0	30
2010.01.25	16:00:00	81.490	81.662	81.190	81.653	12275	0	30
2010.01.25	20:00:00	81.651	81.731	81.493	81.577	5216	0	50
2010.01.26	00:00:00	81.579	82.198	81.470	81.501	8625	0	50
2010.01.26	04:00:00	81.506	81.574	80.228	80.801	14504	0	34
2010.01.26	08:00:00	80.804	81.197	80.005	80.282	15494	0	30
2010.01.26	12:00:00	80.285	80.596	80.072	80.274	13167	0	30
2010.01.26	16:00:00	80.281	80.904	80.221	80.899	12974	0	30
2010.01.26	20:00:00	80.897	80.921	80.467	80.601	6699	0	50
2010.01.27	00:00:00	80.604	81.094	80.502	80.716	11818	0	50
2010.01.27	04:00:00	80.717	80.867	80.182	80.318	10637	0	30
2010.01.27	08:00:00	80.316	80.659	79.959	80.365	14010	0	30
2010.01.27	12:00:00	80.364	80.664	80.069	80.101	12592	0	30
2010.01.27	16:00:00	80.083	80.255	79.857	80.108	12743	0	30
2010.01.27	20:00:00	80.106	80.758	79.868	80.652	11534	0	50
2010.01.28	00:00:00	80.667	81.108	80.461	81.052	11700	0	50
2010.01.28	04:00:00	81.054	81.540	80.999	81.340	9825	0	32
2010.01.28	08:00:00	81.337	81.797	81.247	81.364	13678	0	30
2010.01.28	12:00:00	81.366	81.544	80.955	81.138	13137	0	30
2010.01.28	16:00:00	81.139	81.143	80.189	80.468	14649	0	30
2010.01.28	20:00:00	80.462	80.584	80.262	80.344	8634	0	50
2010.01.29	00:00:00	80.344	80.418	79.649	80.308	12355	0	50
2010.01.29	04:00:00	80.307	80.439	79.853	80.212	9935	0	30
2010.01.29	08:00:00	80.213	80.827	80.201	80.634	12942	0	30
2010.01.29	12:00:00	80.635	81.249	80.499	80.829	14145	0	30
2010.01.29	16:00:00	80.834	80.987	80.046	80.179	14930	0	32
2010.01.29	20:00:00	80.181	80.279	79.724	79.741	6099	0	50
2010.02.01	00:00:00	79.651	80.083	79.376	79.503	10021	0	50
2010.02.01	04:00:00	79.500	79.775	79.309	79.725	9155	0	30
2010.02.01	08:00:00	79.724	79.988	79.317	79.319	11582	0	30
2010.02.01	12:00:00	79.317	80.049	79.306	80.044	11682	0	30
2010.02.01	16:00:00	80.056	80.879	79.913	80.733	12973	0	30
2010.02.01	20:00:00	80.729	80.934	80.587	80.918	5922	0	50
2010.02.02	00:00:00	80.918	81.064	80.778	80.891	7234	0	50
2010.02.02	04:00:00	80.892	81.122	79.601	79.868	11309	0	31
2010.02.02	08:00:00	79.866	79.977	79.485	79.954	13120	0	30
2010.02.02	12:00:00	79.955	80.059	79.589	79.719	11912	0	30
2010.02.02	16:00:00	79.689	80.105	79.591	80.071	9747	0	30
2010.02.02	20:00:00	80.067	80.216	79.877	80.065	5986	0	50
2010.02.03	00:00:00	80.063	80.393	79.729	79.915	8523	0	50
2010.02.03	04:00:00	79.912	80.308	79.899	80.220	7382	0	30
2010.02.03	08:00:00	80.219	80.472	80.119	80.416	11902	0	30
2010.02.03	12:00:00	80.415	80.660	80.176	80.542	12725	0	30
2010.02.03	16:00:00	80.554	80.611	80.203	80.417	12308	0	30
2010.02.03	20:00:00	80.418	80.422	80.111	80.150	6452	0	50
2010.02.04	00:00:00	80.148	80.195	79.672	80.056	8479	0	50
2010.02.04	04:00:00	80.055	80.179	79.955	80.074	7117	0	30
2010.02.04	08:00:00	80.073	80.191	79.684	79.818	11979	0	30
2010.02.04	12:00:00	79.817	79.962	79.079	79.161	12396	0	30
2010.02.04	16:00:00	79.167	79.256	76.244	77.055	15827	0	32
2010.02.04	20:00:00	77.064	77.361	76.801	77.219	9198	0	50
2010.02.05	00:00:00	77.214	77.947	77.214	77.811	11761	0	50
2010.02.05	04:00:00	77.812	77.984	77.522	77.813	8674	0	30
