<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.02.17	12:00:00	90.528	91.104	90.507	91.014	10289	0	10
2010.02.17	16:00:00	91.013	91.149	90.675	90.954	9185	0	10
2010.02.17	20:00:00	90.953	91.368	90.953	91.161	6375	0	17
2010.02.18	00:00:00	91.168	91.198	90.881	90.949	6938	0	17
2010.02.18	04:00:00	90.951	91.000	90.829	90.959	5419	0	10
2010.02.18	08:00:00	90.957	91.048	90.727	90.841	9229	0	10
2010.02.18	12:00:00	90.842	90.958	90.573	90.726	8188	0	10
2010.02.18	16:00:00	90.732	91.478	90.732	91.205	10053	0	10
2010.02.18	20:00:00	91.193	92.041	91.187	92.008	8285	0	17
2010.02.19	00:00:00	92.006	92.078	91.718	91.781	8607	0	17
2010.02.19	04:00:00	91.782	91.929	91.677	91.894	5591	0	10
2010.02.19	08:00:00	91.896	92.050	91.689	91.840	8273	0	10
2010.02.19	12:00:00	91.841	91.974	91.608	91.724	7773	0	10
2010.02.19	16:00:00	91.723	92.141	91.698	91.757	7465	0	10
2010.02.19	20:00:00	91.755	91.815	91.489	91.505	3251	0	15
2010.02.22	00:00:00	91.634	91.891	91.587	91.622	5337	0	15
2010.02.22	04:00:00	91.623	91.717	91.581	91.593	3671	0	10
2010.02.22	08:00:00	91.594	91.659	91.245	91.268	6923	0	10
2010.02.22	12:00:00	91.270	91.471	91.171	91.326	6935	0	10
2010.02.22	16:00:00	91.324	91.324	91.019	91.197	6451	0	10
2010.02.22	20:00:00	91.198	91.208	91.078	91.199	3173	0	15
2010.02.23	00:00:00	91.204	91.288	91.023	91.038	4317	0	15
2010.02.23	04:00:00	91.040	91.125	90.933	91.001	4292	0	10
2010.02.23	08:00:00	91.004	91.008	90.849	90.965	7472	0	10
2010.02.23	12:00:00	90.964	91.099	90.590	90.758	8639	0	10
2010.02.23	16:00:00	90.669	90.669	89.920	90.004	9908	0	10
2010.02.23	20:00:00	90.003	90.250	89.989	90.200	3976	0	15
2010.02.24	00:00:00	90.204	90.294	90.094	90.188	4574	0	15
2010.02.24	04:00:00	90.189	90.258	90.171	90.217	3456	0	10
2010.02.24	08:00:00	90.219	90.352	89.970	90.125	7327	0	10
2010.02.24	12:00:00	90.126	90.260	89.942	90.219	8312	0	10
2010.02.24	16:00:00	90.206	90.263	89.761	90.192	9062	0	10
2010.02.24	20:00:00	90.193	90.225	90.111	90.179	3259	0	15
2010.02.25	00:00:00	90.175	90.309	89.458	89.542	6529	0	15
2010.02.25	04:00:00	89.541	89.726	89.328	89.414	6854	0	10
2010.02.25	08:00:00	89.415	89.543	89.210	89.291	8497	0	10
2010.02.25	12:00:00	89.290	89.505	88.936	89.015	8215	0	10
2010.02.25	16:00:00	89.018	89.095	88.801	89.017	8108	0	10
2010.02.25	20:00:00	89.018	89.188	88.990	89.151	4766	0	15
2010.02.26	00:00:00	89.150	89.494	89.139	89.311	6072	0	15
2010.02.26	04:00:00	89.313	89.400	89.222	89.289	5670	0	10
2010.02.26	08:00:00	89.285	89.396	89.176	89.261	7947	0	10
2010.02.26	12:00:00	89.259	89.313	89.015	89.015	7741	0	10
2010.02.26	16:00:00	89.014	89.029	88.741	88.970	8216	0	10
2010.02.26	20:00:00	88.969	88.971	88.793	88.956	2806	0	15
2010.03.01	00:00:00	88.931	89.193	88.807	89.160	5200	0	15
2010.03.01	04:00:00	89.158	89.259	89.041	89.209	4148	0	10
2010.03.01	08:00:00	89.208	89.362	89.187	89.223	6955	0	10
2010.03.01	12:00:00	89.222	89.356	89.098	89.098	7401	0	10
2010.03.01	16:00:00	89.108	89.473	88.978	89.166	7475	0	10
2010.03.01	20:00:00	89.165	89.185	89.003	89.163	3392	0	15
2010.03.02	00:00:00	89.163	89.324	89.075	89.283	4050	0	15
2010.03.02	04:00:00	89.282	89.370	89.211	89.318	4261	0	10
2010.03.02	08:00:00	89.316	89.318	88.888	89.082	8599	0	10
2010.03.02	12:00:00	89.090	89.235	88.979	89.090	8459	0	10
2010.03.02	16:00:00	89.095	89.142	88.550	88.637	7272	0	10
2010.03.02	20:00:00	88.636	88.845	88.597	88.750	4357	0	15
2010.03.03	00:00:00	88.763	88.781	88.469	88.663	6425	0	15
2010.03.03	04:00:00	88.662	88.900	88.656	88.886	5129	0	10
2010.03.03	08:00:00	88.889	88.989	88.581	88.861	8345	0	10
2010.03.03	12:00:00	88.866	88.866	88.619	88.797	8256	0	10
2010.03.03	16:00:00	88.795	88.866	88.318	88.439	7746	0	10
2010.03.03	20:00:00	88.440	88.522	88.363	88.521	3986	0	15
2010.03.04	00:00:00	88.519	88.624	88.408	88.488	5390	0	15
2010.03.04	04:00:00	88.487	88.503	88.136	88.168	5728	0	10
2010.03.04	08:00:00	88.169	88.565	88.169	88.401	7421	0	10
2010.03.04	12:00:00	88.400	89.209	88.287	89.133	8472	0	10
2010.03.04	16:00:00	89.124	89.248	88.932	89.190	8015	0	10
2010.03.04	20:00:00	89.191	89.191	88.970	89.109	3462	0	15
2010.03.05	00:00:00	89.102	89.348	89.102	89.203	4735	0	15
2010.03.05	04:00:00	89.202	89.363	89.171	89.320	3717	0	10
2010.03.05	08:00:00	89.319	89.433	89.197	89.284	6000	0	10
2010.03.05	12:00:00	89.286	90.314	89.280	90.310	8654	0	10
2010.03.05	16:00:00	90.311	90.584	90.247	90.430	7770	0	10
2010.03.05	20:00:00	90.430	90.446	90.244	90.270	3372	0	15
2010.03.08	00:00:00	90.599	90.656	90.340	90.349	4568	0	10
2010.03.08	04:00:00	90.353	90.450	90.344	90.420	4095	0	10
2010.03.08	08:00:00	90.421	90.481	90.149	90.339	5551	0	9
2010.03.08	12:00:00	90.338	90.442	90.279	90.313	4860	0	10
2010.03.08	16:00:00	90.314	90.485	90.220	90.340	4861	0	10
2010.03.08	20:00:00	90.339	90.363	90.237	90.280	2483	0	14
2010.03.09	00:00:00	90.281	90.312	89.871	89.916	4675	0	14
2010.03.09	04:00:00	89.913	90.062	89.889	89.924	4035	0	10
2010.03.09	08:00:00	89.917	90.101	89.630	89.764	6503	0	9
2010.03.09	12:00:00	89.763	89.883	89.694	89.849	5330	0	9
2010.03.09	16:00:00	89.847	90.021	89.760	90.021	4827	0	10
2010.03.09	20:00:00	90.020	90.040	89.836	89.899	3057	0	15
2010.03.10	00:00:00	89.901	90.077	89.896	89.978	3373	0	14
2010.03.10	04:00:00	89.977	90.128	89.958	90.123	2940	0	10
2010.03.10	08:00:00	90.121	90.473	89.937	90.438	5440	0	9
2010.03.10	12:00:00	90.441	90.761	90.343	90.689	5497	0	9
2010.03.10	16:00:00	90.688	90.816	90.421	90.536	5473	0	10
2010.03.10	20:00:00	90.538	90.559	90.466	90.510	2742	0	14
2010.03.11	00:00:00	90.507	90.539	90.278	90.288	4077	0	14
2010.03.11	04:00:00	90.287	90.426	90.206	90.409	3354	0	10
2010.03.11	08:00:00	90.407	90.538	90.315	90.479	4353	0	9
2010.03.11	12:00:00	90.481	90.705	90.332	90.351	5457	0	10
2010.03.11	16:00:00	90.354	90.641	90.351	90.613	5179	0	12
2010.03.11	20:00:00	90.610	90.619	90.482	90.604	2753	0	15
2010.03.12	00:00:00	90.600	90.736	90.467	90.591	4113	0	17
2010.03.12	04:00:00	90.592	90.669	90.553	90.622	3358	0	11
2010.03.12	08:00:00	90.621	90.678	90.166	90.330	6295	0	11
2010.03.12	12:00:00	90.331	91.080	90.325	90.948	6637	0	12
2010.03.12	16:00:00	90.955	90.972	90.283	90.533	6779	0	11
2010.03.12	20:00:00	90.534	90.565	90.420	90.548	2179	0	15
2010.03.15	00:00:00	90.597	90.788	90.581	90.676	4746	0	15
2010.03.15	04:00:00	90.675	90.699	90.551	90.689	3519	0	15
2010.03.15	08:00:00	90.687	90.771	90.599	90.699	5015	0	13
2010.03.15	12:00:00	90.697	90.787	90.625	90.720	5435	0	10
2010.03.15	16:00:00	90.721	90.750	90.352	90.466	5800	0	10
2010.03.15	20:00:00	90.465	90.530	90.370	90.418	3079	0	15
2010.03.16	00:00:00	90.421	90.458	90.128	90.238	5400	0	17
2010.03.16	04:00:00	90.239	90.240	89.974	90.142	4615	0	13
2010.03.16	08:00:00	90.141	90.680	90.126	90.624	6317	0	12
2010.03.16	12:00:00	90.623	90.731	90.242	90.462	6645	0	10
2010.03.16	16:00:00	90.459	90.684	90.155	90.254	7209	0	12
2010.03.16	20:00:00	90.256	90.400	90.209	90.320	3549	0	18
2010.03.17	00:00:00	90.328	90.444	90.288	90.368	3575	0	15
2010.03.17	04:00:00	90.367	90.662	90.027	90.569	5533	0	10
2010.03.17	08:00:00	90.568	90.705	90.379	90.502	7349	0	10
2010.03.17	12:00:00	90.500	90.619	90.366	90.521	6551	0	12
2010.03.17	16:00:00	90.519	90.538	90.108	90.180	6299	0	10
2010.03.17	20:00:00	90.179	90.379	90.166	90.375	3200	0	18
2010.03.18	00:00:00	90.373	90.441	90.153	90.165	4683	0	17
2010.03.18	04:00:00	90.166	90.294	90.061	90.159	5877	0	13
2010.03.18	08:00:00	90.161	90.325	89.762	90.185	8372	0	10
2010.03.18	12:00:00	90.187	90.444	90.038	90.386	7253	0	13
2010.03.18	16:00:00	90.387	90.794	90.157	90.297	7163	0	11
2010.03.18	20:00:00	90.295	90.476	90.255	90.469	3200	0	17
2010.03.19	00:00:00	90.459	90.588	90.352	90.474	4619	0	17
2010.03.19	04:00:00	90.476	90.510	90.391	90.418	3163	0	11
2010.03.19	08:00:00	90.415	90.546	90.391	90.466	4718	0	10
2010.03.19	12:00:00	90.467	90.710	90.400	90.577	6298	0	13
2010.03.19	16:00:00	90.578	90.620	90.331	90.480	4589	0	13
2010.03.19	20:00:00	90.479	90.586	90.425	90.535	1521	0	17
2010.03.22	00:00:00	90.505	90.518	90.413	90.437	1947	0	14
2010.03.22	04:00:00	90.438	90.677	90.424	90.661	1987	0	10
2010.03.22	08:00:00	90.664	90.766	90.462	90.560	4507	0	9
2010.03.22	12:00:00	90.561	90.620	89.830	90.133	7826	0	9
2010.03.22	16:00:00	90.131	90.143	89.954	90.127	4783	0	9
