<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.12	04:00:00	68.221	68.451	68.113	68.166	7406	0	80
2010.01.12	08:00:00	68.168	68.228	67.609	67.767	11768	0	80
2010.01.12	12:00:00	67.769	67.837	67.339	67.396	14717	0	80
2010.01.12	16:00:00	67.392	67.485	66.936	67.211	9270	0	80
2010.01.12	20:00:00	67.210	67.361	67.110	67.208	4782	0	80
2010.01.13	00:00:00	67.209	67.487	67.048	67.382	7559	0	80
2010.01.13	04:00:00	67.384	67.689	67.363	67.617	7267	0	80
2010.01.13	08:00:00	67.617	67.870	67.447	67.573	9520	0	80
2010.01.13	12:00:00	67.577	67.791	67.246	67.457	11893	0	80
2010.01.13	16:00:00	67.459	67.724	67.459	67.625	9492	0	80
2010.01.13	20:00:00	67.624	67.670	67.457	67.594	4253	0	80
2010.01.14	00:00:00	67.595	67.974	67.387	67.910	6891	0	80
2010.01.14	04:00:00	67.912	68.325	67.853	68.320	7777	0	80
2010.01.14	08:00:00	68.319	68.364	68.040	68.096	8535	0	80
2010.01.14	12:00:00	68.097	68.151	67.568	67.588	12520	0	80
2010.01.14	16:00:00	67.593	67.688	67.429	67.535	9507	0	80
2010.01.14	20:00:00	67.536	67.759	67.436	67.694	4176	0	80
2010.01.15	00:00:00	67.693	67.740	67.044	67.288	8335	0	80
2010.01.15	04:00:00	67.289	67.389	67.039	67.079	7724	0	80
2010.01.15	08:00:00	67.076	67.238	66.756	67.149	10925	0	80
2010.01.15	12:00:00	67.143	67.438	66.873	66.976	14074	0	80
2010.01.15	16:00:00	66.975	67.095	66.817	66.959	8067	0	80
2010.01.15	20:00:00	66.958	67.077	66.921	66.939	2073	0	80
2010.01.18	00:00:00	66.780	66.892	66.474	66.872	6852	0	80
2010.01.18	04:00:00	66.871	67.083	66.760	67.031	8411	0	80
2010.01.18	08:00:00	67.030	67.095	66.848	66.935	7929	0	80
2010.01.18	12:00:00	66.936	67.175	66.926	67.150	6361	0	80
2010.01.18	16:00:00	67.145	67.151	67.005	67.066	4124	0	80
2010.01.18	20:00:00	67.067	67.154	66.941	67.150	4082	0	80
2010.01.19	00:00:00	67.151	67.154	66.729	66.793	7117	0	80
2010.01.19	04:00:00	66.791	67.078	66.598	67.074	7860	0	80
2010.01.19	08:00:00	67.075	67.079	66.749	66.847	12891	0	80
2010.01.19	12:00:00	66.848	67.414	66.640	67.289	14363	0	80
2010.01.19	16:00:00	67.290	67.375	67.178	67.253	7503	0	80
2010.01.19	20:00:00	67.256	67.380	66.672	66.874	6684	0	80
2010.01.20	00:00:00	66.873	66.899	66.368	66.571	9778	0	80
2010.01.20	04:00:00	66.572	66.577	66.007	66.024	11378	0	80
2010.01.20	08:00:00	66.023	66.162	65.411	65.499	13444	0	80
2010.01.20	12:00:00	65.498	65.989	65.428	65.719	14507	0	80
2010.01.20	16:00:00	65.721	65.777	65.497	65.585	8396	0	80
2010.01.20	20:00:00	65.574	65.897	65.549	65.769	5437	0	80
2010.01.21	00:00:00	65.768	66.030	65.721	65.967	9628	0	80
2010.01.21	04:00:00	65.968	66.105	65.752	65.880	8772	0	80
2010.01.21	08:00:00	65.879	66.098	65.508	65.820	12000	0	80
2010.01.21	12:00:00	65.819	66.278	65.193	65.224	14813	0	80
2010.01.21	16:00:00	65.221	65.284	64.112	64.373	16312	0	80
2010.01.21	20:00:00	64.372	64.522	63.901	64.471	9172	0	80
2010.01.22	00:00:00	64.467	64.467	63.737	64.026	11160	0	80
