date,prob_down,prob_up,pred_class
2010-12-20,0.9322973,0.067702726,0
2010-12-21,0.92113286,0.078867115,0
2010-12-22,0.8460441,0.15395585,0
2010-12-23,0.8583179,0.14168212,0
2010-12-24,0.8650721,0.13492799,0
2010-12-27,0.87034464,0.12965533,0
2010-12-28,0.8690035,0.13099648,0
2010-12-29,0.8575205,0.14247943,0
2010-12-30,0.22653185,0.77346814,1
2010-12-31,0.09662532,0.9033747,1
2011-01-03,0.08056359,0.91943645,1
2011-01-04,0.114095315,0.8859046,1
2011-01-05,0.3206217,0.67937833,1
2011-01-06,0.8540873,0.14591266,0
2011-01-07,0.9228835,0.077116504,0
2011-01-10,0.93128437,0.06871566,0
2011-01-11,0.89109087,0.10890916,0
2011-01-12,0.774501,0.22549902,0
2011-01-13,0.7999618,0.20003822,0
2011-01-14,0.18191323,0.8180868,1
2011-01-17,0.6794523,0.3205477,0
2011-01-18,0.77798516,0.22201483,0
2011-01-19,0.85794395,0.14205603,0
2011-01-20,0.41310674,0.5868933,1
2011-01-21,0.7172984,0.2827016,0
2011-01-24,0.80306065,0.19693933,0
2011-01-25,0.8683854,0.13161464,0
2011-01-26,0.91940016,0.08059985,0
2011-01-27,0.8383135,0.16168647,0
2011-01-28,0.86030835,0.13969158,0
2011-01-31,0.2468643,0.75313574,1
2011-02-01,0.09876849,0.9012315,1
2011-02-02,0.076296166,0.92370385,1
2011-02-03,0.11075707,0.8892429,1
2011-02-04,0.29064935,0.70935065,1
2011-02-07,0.29203004,0.70796996,1
2011-02-08,0.24850914,0.7514909,1
2011-02-09,0.21986187,0.7801381,1
2011-02-10,0.26004377,0.73995626,1
2011-02-11,0.81577384,0.18422619,0
2011-02-14,0.9015841,0.09841595,0
2011-02-15,0.9241168,0.07588327,0
2011-02-16,0.9101451,0.08985489,0
2011-02-17,0.8331372,0.1668628,0
2011-02-18,0.85412514,0.14587486,0
2011-02-21,0.8724016,0.12759845,0
2011-02-22,0.87917376,0.12082624,0
2011-02-23,0.8804334,0.11956665,0
2011-02-24,0.8848186,0.11518138,0
2011-02-25,0.26531413,0.7346859,1
2011-02-28,0.10956807,0.89043194,1
2011-03-01,0.0884841,0.9115159,1
2011-03-02,0.111622736,0.88837725,1
2011-03-03,0.3169315,0.68306845,1
2011-03-04,0.29025245,0.70974755,1
2011-03-07,0.8504973,0.14950266,0
2011-03-08,0.9253858,0.0746142,0
2011-03-09,0.946314,0.053685956,0
2011-03-10,0.92113835,0.078861706,0
2011-03-11,0.78652906,0.21347094,0
2011-03-14,0.7722489,0.22775105,0
2011-03-15,0.7876997,0.2123003,0
2011-03-16,0.17564903,0.824351,1
2011-03-17,0.08725272,0.9127472,1
2011-03-18,0.072748125,0.9272518,1
